time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0.55552,1,121.41,19.519,-15.133,0.43554,2.3473,0.13245,0,0,0.011006
0.56145,1,121.41,19.578,-15.192,0.43757,2.3461,0.13244,0,0,0.011045
0.56737,1,121.4,19.636,-15.251,0.43959,2.3448,0.13242,0,0,0.011081
0.5733,1,121.39,19.695,-15.31,0.44154,2.3432,0.13241,0,0,0.011115
0.57922,1,121.38,19.754,-15.369,0.44338,2.3413,0.13239,0,0,0.011148
0.58515,1,121.38,19.812,-15.428,0.44509,2.3391,0.13238,0,0,0.011179
0.59108,1,121.37,19.87,-15.487,0.44665,2.3365,0.13236,0,0,0.011209
0.59702,1,121.37,19.928,-15.545,0.44803,2.3336,0.13235,0,0,0.011238
0.60296,1,121.37,19.985,-15.603,0.44922,2.3305,0.13234,0,0,0.011267
0.6089,1,121.37,20.045,-15.66,0.45024,2.3272,0.13233,0,0,0.011294
0.61485,1,121.37,20.104,-15.72,0.45108,2.3238,0.13231,0,0,0.011321
0.62081,1,121.37,20.166,-15.779,0.45174,2.3202,0.1323,0,0,0.011347
0.62677,1,121.38,20.226,-15.84,0.45225,2.3166,0.13229,0,0,0.011373
0.63274,1,121.39,20.285,-15.9,0.45262,2.313,0.13229,0,0,0.011398
0.63872,1,121.39,20.344,-15.959,0.45287,2.3093,0.13228,0,0,0.011422
0.6447,1,121.4,20.402,-16.017,0.45301,2.3057,0.13227,0,0,0.011446
0.65069,1,121.43,20.459,-16.073,0.45312,2.2952,0.13227,0,0,0.0115
0.65669,1,121.47,20.515,-16.127,0.45328,2.2776,0.13228,0,0,0.0116
0.66272,1,121.51,20.57,-16.181,0.45346,2.2689,0.13229,0,0,0.011694
0.66878,1,121.55,20.625,-16.234,0.45378,2.2615,0.1323,0,0,0.011788
0.67487,1,121.59,20.679,-16.286,0.45427,2.2561,0.1323,0,0,0.01188
0.68099,1,121.62,20.733,-16.339,0.45501,2.2516,0.13231,0,0,0.011972
0.68714,1,121.65,20.787,-16.391,0.45605,2.2469,0.13231,0,0,0.012071
0.69333,1,121.68,20.84,-16.442,0.45743,2.2421,0.13232,0,0,0.012179
0.69953,1,121.71,20.893,-16.493,0.45918,2.238,0.13232,0,0,0.012294
0.70577,1,121.74,20.946,-16.545,0.4613,2.2346,0.13232,0,0,0.012414
0.71203,1,121.77,20.998,-16.596,0.46379,2.2319,0.13233,0,0,0.012539
0.71831,1,121.79,21.051,-16.647,0.46664,2.2305,0.13233,0,0,0.012666
0.72461,1,121.81,21.103,-16.698,0.46983,2.2307,0.13232,0,0,0.01279
0.73093,1,121.82,21.154,-16.749,0.47334,2.229,0.13232,0,0,0.012923
0.73726,1,121.83,21.206,-16.8,0.47711,2.229,0.13232,0,0,0.013054
0.74361,1,121.84,21.258,-16.851,0.48112,2.2287,0.13231,0,0,0.013187
0.74996,1,121.85,21.309,-16.902,0.48532,2.2276,0.1323,0,0,0.013326
0.75632,1,121.87,21.36,-16.952,0.48967,2.225,0.1323,0,0,0.013475
0.76268,1,121.87,21.411,-17.003,0.4941,2.2243,0.13229,0,0,0.013619
0.76904,1,121.88,21.461,-17.053,0.49852,2.2255,0.13229,0,0,0.013752
0.77538,1,121.87,21.512,-17.105,0.5028,2.232,0.13227,0,0,0.013846
0.78171,1,121.86,21.562,-17.156,0.50689,2.2345,0.13226,0,0,0.013936
0.78801,1,121.85,21.612,-17.207,0.51067,2.2375,0.13224,0,0,0.014011
0.79429,1,121.83,21.661,-17.257,0.51401,2.2407,0.13222,0,0,0.014067
0.80051,1,121.81,21.71,-17.308,0.51677,2.244,0.13221,0,0,0.014102
0.8067,1,121.8,21.759,-17.358,0.51882,2.2472,0.13219,0,0,0.014115
0.81282,1,121.81,21.806,-17.406,0.52017,2.2363,0.13218,0,0,0.014181
0.8189,1,121.84,21.853,-17.451,0.52073,2.2212,0.13219,0,0,0.014284
